name,short name,code,wagebill,estimated2019wages,primary colour,secondary colour,text colour
Arsenal,,ARS,240000000,245000000,,,
Aston Villa,Aston Villa,AVA,73100000,,,,
AFC Bournemouth,Bournemouth,BOU,102000000,108000000,,,
Brighton and Hove Albion,Brighton and Hove,BRH,78000000,95000000,,,
Burnley,,BUR,82000000,82000000,,,
Chelsea,,CHE,246000000,236000000,,,
Crystal Palace,,CRY,117000000,120000000,,,
Derby County,Derby,DBC,,,,,
Everton,,EVE,145000000,160000000,,,
Huddersfield Town,Huddersfield,HDD,,,,,
Leicester City,Leicester,LEI,119000000,,,,
Liverpool,,LIV,264000000,,,,
Manchester City,Man. City,MCI,260000000,,,,
Manchester United,Man. Utd.,MUN,296000000,332000000,,,
Newcastle United,Newcastle,NEW,94000000,,,,
Norwich City,Norwich,NOR,54300000,,,,
Sheffleld United,Sheffield,SHU,19000000,,,,
Southampton,,SOU,113000000,,,,
Stoke City,Stoke,STK,,,,,
Swansea City,Swansea,SWA,,,,,
Tottenham Hotspur,Spurs,TOT,148000000,,,,
Watford,,WAT,86000000,,,,
West Bromwich Albion,West Brom,WBR,,,,,
West Ham United,West Ham,WHU,107000000,,,,
Wolverhampton Wanderers,Wolves,WOL,50700000,,,,
