code,club,wagebill,position,points,estimated2019wages
ARS,Arsenal,240000000,10,31,245000000
AVA,Aston Villa,73100000,17,25,
BOU,Bournemouth,102000000,16,26,108000000
BRH,Brighton and Hove Albion,78000000,15,27,95000000
BUR,Burnley,82000000,11,31,82000000
CHE,Chelsea,246000000,4,41,236000000
CRY,Crystal Palace,117000000,14,30,120000000
EVE,Everton,145000000,7,36,160000000
LEI,Leicester City,119000000,3,49,
LIV,Liverpool,264000000,1,73,
MCI,Manchester City,260000000,2,51,
MUN,Manchester United,296000000,8,35,332000000
NOR,Norwich,54300000,20,18,
NEW,Newcastle United,94000000,12,31,
SHU,Sheffield United,19000000,5,39,
SOU,Southampton,113000000,13,31,
TOT,Tottenham Hotspur,148000000,6,37,
WAT,Watford,86000000,19,24,
WHU,West Ham United,107000000,18,24,
WOL,Wolverhampton Wanderers,50700000,9,35,
